ID||Anzahl|Original|Alternativname|normalisiert (deutsch)|Long|Lat|wikidata-id|Getty-id|Geonames-id|Kommentar |Zuordnung|Lage|Sicherheit|Inst. in der Stadt|wikidata-id inst|Geonames-id inst||||||||GND|
3104|0|8|Aquasgrani pal. r.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3103|0|12|Aquasgrani pal.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
3102|0|82|Aquasgrani||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
3101|0|4|Aquas||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
2590|0|1|Aquisgranum||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
2589|0|5|Aquis||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||||0|Philipp 1194 apr. 18 Aquis|5|1|12||
2588|0|15|Aquilegiam||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
1872|0|7|ap. Aquis||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|||Umgebung|||||0|0|0|0|0|0|0||
1764|0|1|ante Aquisgranum||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|||Umgebung|||||||0|Friedrich II. 1214 aug. 23 ante Aquisgranum|5|1|1328||
1572|0|4|Aguis pal.||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
1455|0|4|ad palatium Aquis||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|Friedrich II.|0|0|0|0||
1356|0|1|Ad Aquis||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|||Umgebung|||||0|0|0|0|0|0|0||
1355|0|2|ad Aquas||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|||Umgebung|||||0|0|0|0|0|0|0||
1337|0|59|Achen||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||7.1837|49.0441|0|Friedrich III. 1486 April 10 Achen|13|0|7834||
1336|0|32|Ache||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
1316|0|2|Aachen<sup>1</sup>||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
1315|0|2|Aachen <em>(in regio palatio Aquisgrani) </em>||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
1314|0|1|Aachen <em>(in curia nostra Aquis celebrata) </em>||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
1313|0|1|Aachen (in palatio Aquisgrani)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||Königshof|||Königspfalz|https://www.wikidata.org/wiki/Q300739||0|0|0|0|0|0|0||
1312|0|1|Aachen (Aquisgrani)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
1311|0|386|Aachen||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||6.0816445|50.7742933|0|Friedrich III. 1442 Juni (18) Aachen|13|0|614||
1139|0|1|<em>Aquis</em>||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
1135|0|1|<em>Aichen</em>||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449||||||||0|0|0|0|0|0|0||
1111|0|1|(zwischen Koblenz und Aachen)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt||zwischen|||||||||||||
574|0|1|(Lüttich — Aachen)||Aachen|6.08342|50.77664|https://www.wikidata.org/wiki/Q1017|7004799|http://www.geonames.org/3247449|doppelt|||||||||||||||
